Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
53	31	0	0.579016589	-0.0196934604	-0.020870872	-0.0451476163	0.0016642882	0.0468119045	0	0	0	0	0	3
54	31	0	0.58994143	-0.0198608309	-0.0213388093	-0.0451476163	-0.00195582979	0.0431917865	0	0	0	0	0	3
55	32	0	0.600866272	-0.0199354207	-0.0207907181	-0.0352851333	-0.00195582979	0.0333293035	0	0	0	0	0	3
56	32	0	0.611791113	-0.0199396004	-0.0211816697	-0.0352851333	-0.0103254767	0.0249596565	0	0	0	0	0	3
57	33	0	0.622715954	-0.0197722287	-0.0208444326	-0.0303108845	-0.0103254767	0.0199854078	0	0	0	0	0	3
58	34	0	0.633640796	-0.0195528315	-0.0210450273	-0.0303108845	-0.0154188488	0.0148920357	0	0	0	0	0	3
59	34	0	0.644565637	-0.0193341309	-0.0208064022	-0.0269436475	-0.0154188488	0.0115247987	0	0	0	0	0	3
60	35	0	0.655490478	-0.0194002773	-0.020892955	-0.0269436475	-0.019142216	0.0078014315	0	0	0	0	0	3
61	35	0	0.66641532	-0.0196211349	-0.0207337699	-0.0235985116	-0.019142216	0.00445629555	0	0	0	0	0	3
62	36	0	0.677340161	-0.0201003631	-0.0207445349	-0.0235985116	-0.019142216	0.00445629555	0	0	0	0	0	3
63	36	0	0.688265002	-0.020137497	-0.0206692955	-0.0227389978	-0.019142216	0.0035967818	0	0	0	0	0	3
64	37	0	0.699189843	-0.0198136035	-0.0206412581	-0.0227389978	-0.019142216	0.0035967818	0	0	0	0	0	3
65	38	0	0.710114685	-0.0193486081	-0.020567554	-0.0221862223	-0.019142216	0.00304400627	0	0	0	0	0	3
66	38	0	0.721039526	-0.0191671329	-0.0205129659	-0.0221862223	-0.019142216	0.00304400627	0	0	0	0	0	3
67	39	0	0.731964367	-0.0194338461	-0.0204531316	-0.0221489985	-0.019142216	0.00300678245	0	0	0	0	0	3
68	39	0	0.742889209	-0.0199366438	-0.0204069455	-0.0221489985	-0.019142216	0.00300678245	0	0	0	0	0	3
69	40	0	0.75381405	-0.0204695191	-0.0203704351	-0.0220875312	-0.019142216	0.00294531515	0	0	0	0	0	3
70	40	0	0.764738891	-0.0204899186	-0.020337403	-0.0220875312	-0.019142216	0.00294531515	0	0	0	0	0	3
71	41	0	0.775663733	-0.0201943099	-0.020296246	-0.0220511106	-0.019142216	0.00290889456	0	0	0	0	0	3
72	42	0	0.786588574	-0.0197664314	-0.0202465791	-0.0219757751	-0.019142216	0.00283355908	0	0	0	0	0	3
73	42	0	0.797513415	-0.019394659	-0.0201904678	-0.0218096177	-0.019142216	0.00266740169	0	0	0	0	0	3
74	43	0	0.808438256	-0.0194550253	-0.0201392811	-0.0217391707	-0.019142216	0.00259695471	0	0	0	0	0	3
75	43	0	0.819363098	-0.0198171269	-0.0200974975	-0.021734849	-0.019142216	0.00259263294	0	0	0	0	0	3
76	44	0	0.830287939	-0.0202862649	-0.0200660065	-0.0216952668	-0.019142216	0.00255305079	0	0	0	0	0	3
77	45	0	0.84121278	-0.0206605485	-0.0200435127	-0.0216638305	-0.019142216	0.00252161448	0	0	0	0	0	3
78	45	0	0.852137622	-0.0205922276	-0.0200202169	-0.0212978994	-0.019142216	0.00215568336	0	0	0	0	0	3
79	46	0	0.863062463	-0.0202653067	-0.0199977693	-0.0211756421	-0.019142216	0.00203342605	0	0	0	0	0	3
