Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
92	53	0	1.0050854	0	0	0	0	0	0.001	0	0	0	0	3
93	54	0	1.01601024	0	0	0	0	0	0.001	0	0	0	0	3
94	55	0	1.02693508	0	0	0	0	0	0.001	0	0	0	0	3
95	55	0	1.03785992	0	0	0	0	0	0.001	0	0	0	0	3
96	56	0	1.04878477	0	0	0	0	0	0.001	0	0	0	0	3
97	56	0	1.05970961	0	0	0	0	0	0.001	0	0	0	0	3
98	57	0	1.07063445	0	0	0	0	0	0.001	0	0	0	0	3
99	57	0	1.08155929	0	0	0	0	0	0.001	0	0	0	0	3
100	58	0	1.09248413	0	0	0	0	0	0.001	0	0	0	0	3
101	59	0	1.10340897	0	0	0	0	0	0.001	0	0	0	0	3
102	60	0	1.11433381	0	0	0	0	0	0.001	0	0	0	0	3
103	61	0	1.12525865	0	0	0	0	0	0.001	0	0	0	0	3
104	61	0	1.1361835	0	0	0	0	0	0.001	0	0	0	0	3
105	62	0	1.14710834	0	0	0	0	0	0.001	0	0	0	0	3
106	62	0	1.15803318	0	0	0	0	0	0.001	0	0	0	0	3
107	63	0	1.16895802	0	0	0	0	0	0.001	0	0	0	0	3
108	63	0	1.17988286	0	0	0	0	0	0.001	0	0	0	0	3
109	64	0	1.1908077	0	0	0	0	0	0.001	0	0	0	0	3
110	65	0	1.20173254	0	0	0	0	0	0.001	0	0	0	0	3
111	65	0	1.21265738	0	0	0	0	0	0.001	0	0	0	0	3
112	66	0	1.22358223	0	0	0	0	0	0.001	0	0	0	0	3
113	67	0	1.23450707	0	0	0	0	0	0.001	0	0	0	0	3
114	67	0	1.24543191	0	0	0	0	0	0.001	0	0	0	0	3
115	68	0	1.25635675	0	0	0	0	0	0.001	0	0	0	0	3
116	68	0	1.26728159	0	0	0	0	0	0.001	0	0	0	0	3
117	69	0	1.27820643	0	0	0	0	0	0.001	0	0	0	0	3
118	70	0	1.28913127	0	0	0	0	0	0.001	0	0	0	0	3
119	70	0	1.30005612	0	0	0	0	0	0.001	0	0	0	0	3
120	71	0	1.31098096	0	0	0	0	0	0.001	0	0	0	0	3
121	71	0	1.3219058	0	0	0	0	0	0.001	0	0	0	0	3
122	72	0	1.33283064	0	0	0	0	0	0.001	0	0	0	0	3
123	73	0	1.34375548	0	0	0	0	0	0.001	0	0	0	0	3
124	73	0	1.35468032	0	0	0	0	0	0.001	0	0	0	0	3
125	74	0	1.36560516	0	0	0	0	0	0.001	0	0	0	0	3
126	75	0	1.37653	0	0	0	0	0	0.001	0	0	0	0	3
127	75	0	1.38745485	0	0	0	0	0	0.001	0	0	0	0	3
128	76	0	1.39837969	0	0	0	0	0	0.001	0	0	0	0	3
129	77	0	1.40930453	0	0	0	0	0	0.001	0	0	0	0	3
130	77	0	1.42022937	0	0	0	0	0	0.001	0	0	0	0	3
131	78	0	1.43115421	0	0	0	0	0	0.001	0	0	0	0	3
132	78	0	1.44207905	0	0	0	0	0	0.001	0	0	0	0	3
133	79	0	1.45300389	0	0	0	0	0	0.001	0	0	0	0	3
134	80	0	1.46392873	0	0	0	0	0	0.001	0	0	0	0	3
135	80	0	1.47485358	0	0	0	0	0	0.001	0	0	0	0	3
136	81	0	1.48577842	0	0	0	0	0	0.001	0	0	0	0	3
137	81	0	1.49670326	0	0	0	0	0	0.001	0	0	0	0	3
138	82	0	1.5076281	0	0	0	0	0	0.001	0	0	0	0	3
139	83	0	1.51855294	0	0	0	0	0	0.001	0	0	0	0	3
140	83	0	1.52947778	0	0	0	0	0	0.001	0	0	0	0	3
141	84	0	1.54040262	0	0	0	0	0	0.001	0	0	0	0	3
