Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
62	36	0	0.677340161	101325.007	101325.007	101325.006	101325.01	0.00404532753	0	0	0	0	0	3
63	36	0	0.688265002	101325.008	101325.007	101325.006	101325.01	0.00385383365	0	0	0	0	0	3
64	37	0	0.699189843	101325.007	101325.007	101325.006	101325.01	0.00385383365	0	0	0	0	0	3
65	38	0	0.710114685	101325.007	101325.007	101325.006	101325.01	0.00385383365	0	0	0	0	0	3
66	38	0	0.721039526	101325.007	101325.007	101325.006	101325.01	0.00385383365	0	0	0	0	0	3
67	39	0	0.731964367	101325.007	101325.007	101325.006	101325.01	0.00385383365	0	0	0	0	0	3
68	39	0	0.742889209	101325.007	101325.007	101325.006	101325.01	0.00385383365	0	0	0	0	0	3
69	40	0	0.75381405	101325.008	101325.007	101325.006	101325.01	0.00385383365	0	0	0	0	0	3
70	40	0	0.764738891	101325.007	101325.007	101325.006	101325.009	0.0037137998	0	0	0	0	0	3
71	41	0	0.775663733	101325.007	101325.007	101325.006	101325.009	0.00347341997	0	0	0	0	0	3
72	42	0	0.786588574	101325.006	101325.007	101325.006	101325.009	0.00298136375	0	0	0	0	0	3
73	42	0	0.797513415	101325.006	101325.007	101325.006	101325.008	0.0022343188	0	0	0	0	0	3
74	43	0	0.808438256	101325.006	101325.007	101325.006	101325.008	0.00198958049	0	0	0	0	0	3
75	43	0	0.819363098	101325.007	101325.007	101325.006	101325.008	0.00198958049	0	0	0	0	0	3
76	44	0	0.830287939	101325.007	101325.007	101325.006	101325.008	0.00198958049	0	0	0	0	0	3
77	45	0	0.84121278	101325.007	101325.007	101325.006	101325.008	0.00198958049	0	0	0	0	0	3
78	45	0	0.852137622	101325.007	101325.007	101325.006	101325.008	0.00198958049	0	0	0	0	0	3
79	46	0	0.863062463	101325.007	101325.007	101325.006	101325.008	0.00198958049	0	0	0	0	0	3
80	46	0	0.873987304	101325.007	101325.007	101325.006	101325.008	0.00198958049	0	0	0	0	0	3
81	47	0	0.884912146	101325.007	101325.007	101325.006	101325.008	0.00178217853	0	0	0	0	0	3
82	47	0	0.895836987	101325.007	101325.007	101325.006	101325.008	0.00166516357	0	0	0	0	0	3
83	48	0	0.906761828	101325.007	101325.007	101325.006	101325.008	0.00162890949	0	0	0	0	0	3
84	49	0	0.91768667	101325.007	101325.007	101325.006	101325.008	0.00162890949	0	0	0	0	0	3
85	49	0	0.928611511	101325.008	101325.007	101325.006	101325.008	0.00162890949	0	0	0	0	0	3
86	50	0	0.939536352	101325.007	101325.007	101325.006	101325.008	0.00162890949	0	0	0	0	0	3
87	50	0	0.950461193	101325.007	101325.007	101325.006	101325.008	0.00162890949	0	0	0	0	0	3
